item_stock_id|stockroom_id|item_id|quantity|uuid
6494|343|1553|11|1e98e1c9-da13-4430-910f-8f401568def0
7220|343|1547|1700|e3a105fa-9d56-4ff4-ad02-65d4b200241b
7221|342|922|10|be7438f5-0a3b-4430-816e-11f846002ba9
7222|342|795|1055|03e79874-2b31-4205-a708-0c981eb19a02
7224|342|809|12|f9babd4e-83ef-4381-89de-bf7f68500514
7227|342|1122|100|1e51be83-3fce-40f9-bc2c-f2b92965eba5
7228|342|1315|7|d6b25a4e-c8fd-40a5-9b99-d81e16162c3e
7230|342|1271|5|10d00128-891b-476b-8e7b-65ab7c7f2c0d
7231|342|1054|618|d6aebbc4-011e-4288-a2f8-850ff83e684f
7232|342|1245|758|33e5f06b-437e-45be-97a5-bc900339cd66
7233|342|1038|4|ccc561c7-e986-46db-ab2a-85cceb6eac1f
7235|342|1040|9|0dfcb0ed-0ebf-42f5-b4b0-2b9ca87beff6
7238|342|812|170|726fae0b-cc3b-4c1e-94aa-6d615ab70319
7240|342|1348|0|ed52c7a1-a220-4efc-974c-baa5ffae98d1
7241|342|1159|110|75da9a9f-7e46-47cc-a5f1-9ba788693942
7243|342|1209|1|4ba0a87b-5f39-4449-8de9-a511a5c84151
7245|342|1243|5|8922b3b6-874b-40ce-a383-ce91d2f0673d
7246|342|1189|51|5da92e5f-a46d-4c1e-903d-980a5f2791c8
7247|342|881|1085|78fcc3fa-19f7-4831-a660-1579b4be45bb
7248|342|1322|778|f98806a5-8dae-47e0-a7fc-6e85ce6bb242
7249|342|1240|675|f70f32f8-ce0f-4587-80cc-dfc0f5748615
7250|342|1074|525|a07114e1-7003-419e-bdb1-3a7160762907
7254|342|833|50|7df43a4d-1210-4693-83ff-f32878b2e8ac
7256|342|810|6|ccf935e5-54cc-4ca9-8403-b729763b0338
7257|342|1277|6|c4bbdeff-0cd3-4489-aaa8-d8aff97f755a
7258|342|1314|10|9c32f4a7-8d9c-48b4-970c-666b942b360f
7261|342|852|40|660bb383-03fe-4d34-bec1-61cbe1343427
7264|342|1328|301|72c1e496-dc65-46f4-8b30-29754e24cfe1
7269|342|1210|831|f21b559f-bd75-490c-b235-42a7cdfc9923
7271|342|1237|122|3f26a72d-9bbe-45ae-8c18-684c880fdbdb
7272|342|1422|252|aed51e05-0317-4ca2-8a9c-969b8a67eb8f
7273|342|823|253|c780c6cd-249b-406b-939c-e51213a82744
7274|342|826|46|0086fd7b-86eb-434b-b395-091f80c21a0a
7275|342|806|248|8c9e3f33-1677-4e0c-8922-3b5fc6078e07
7277|342|1127|10|4e5917f6-25fb-4879-b870-b68de0688622
7278|342|784|509|c32cc68e-5dee-4f4d-99be-f50123bf8885
7279|342|911|100|84f19b06-b2ee-44dd-b78a-238389e45d51
7281|342|1012|20|c270506c-7257-441a-a355-f5c92156be5b
7282|342|829|288|55134a75-b86e-491a-9412-406b045ac80e
7283|342|1352|5|1d59f545-ab89-461d-b24a-dfef9b0a5f74
7284|342|1361|258|6f08d5f9-7abc-4e4f-8722-6d9ef966033a
7285|342|898|36|c94872a1-eed9-4081-85a2-ea370f529f56
7287|342|1162|124|ef93a30a-ec7b-441c-bee4-1363c94b699f
7288|342|1019|126|4c5c5715-cb18-4817-9f6f-e10490ab8d48
7289|342|1284|1|a57f3a63-6df4-40e0-9f63-c0827c62c957
7291|342|941|90|c232ec54-8e62-422c-aade-7e0b2eca93cb
7292|342|1090|123|715c93ac-1b6d-40c0-a4f5-1ef90c5fc0d8
7293|342|1099|98|d45f9ac5-d24d-47ca-a78f-4531a3fb7345
7294|342|903|24|b1b0d6db-2882-4bd7-8146-33b0aa67df76
7295|342|1009|39|57bacf2e-6160-4bee-beb1-e06bea86a6de
7296|342|1294|393|4598989b-c23f-4140-98eb-d5f5e96524f3
7300|342|760|3|6e023d9b-d8d5-4e42-aa56-f83de619e836
7301|342|797|43|500ea7a1-8784-4a09-a61d-0ad3eb895bf9
7302|342|890|528|dcd58690-a28d-4e15-94b8-3302d7cdeaec
7305|342|862|721|3da3eeb8-b721-498a-a21c-de02b8a9acf6
7306|342|1269|14|bf58f5d2-56f4-4ba6-a2ae-3189661ef3f6
7307|342|1004|21|c35b6aa9-1afb-401d-ba16-c306900a524f
7308|342|1179|235|2954d3fd-7b27-42be-8ab0-3aa664bb0a59
7311|342|1265|27|88c80b17-dfc9-4b9d-9ed2-1ff90b4a6c43
7315|342|1201|4|ada03b4b-6a49-4a0c-9dbc-a1853689069d
7316|342|1050|559|e8c71a1c-53b2-4334-a084-7e76d9fc6b5b
7318|342|850|1440|0f70a3b9-9d41-48c0-846a-352cc081d30e
7320|342|1103|5252|da1ad0f6-92b4-4656-814b-1093bb2c221b
7322|342|1000|2158|e593cf58-d141-4c09-8901-7c15dd44582e
7323|342|977|1979|a40e1ffd-6f6f-4622-ac51-6e7a189853a9
7324|342|848|318|0b2b49d6-b794-465a-aa45-c27f18074881
7325|342|1175|115|3705184a-f219-4c60-be58-2d5ebc1e79ab
7326|342|966|710|54f1a610-e9ec-4531-ba68-615939b9b9db
7327|342|828|879|8adef378-4235-41d5-8971-69a156eb8739
7328|342|1270|3|b7f98ca8-aa38-4ce4-994f-938f802d6d7f
7330|342|1115|933|bf1db5df-768e-4011-9a62-5a044b8c1f4c
7331|342|1024|157|fa90f079-15f6-4c55-b487-88eacfc22f86
7333|342|879|1320|ad3cc76b-cf9a-477d-9256-0b05d0df35ce
7335|342|816|209|bc9f611b-0f25-49e3-865d-0b7f81bdf9be
7336|342|910|22|d8fc5817-ba65-45f0-9984-cf199583f019
7337|342|1330|40|afa4b6c0-bf7f-4fa8-a4fc-f9af670f0db9
7340|342|1593|4|3b256765-c74d-4bd1-8dca-72e15cb828f7
7342|342|1003|1571|aebd5940-0917-462c-9426-b8aa86be45ed
7344|342|1255|15|4296c2dd-bc70-407c-bd87-6d1c82e49285
7345|342|899|6|2cb8bcf7-b871-4b8e-a6f2-3d862c387b28
7346|342|1202|34|18b7ab37-c22f-48ef-840e-361a149e9563
7347|342|938|167|b7c8646c-fa82-402c-8c71-5ddef953902b
7349|342|1020|636|4747a0f2-b0c4-4148-b5b8-81875e94bd6a
7351|342|1124|354|4e4fd08b-309e-4a2c-9f7a-f9af31ba860b
7352|342|1114|111|5532a46b-d705-4da9-84d1-8874fc0a6b07
7353|342|1212|281|50085fd8-70ec-4e18-9001-15088341678b
7354|342|1126|508|36bf83cd-4e69-4021-9a8e-63d193aae284
7357|344|1476|1|b40fe6a5-08ba-4bb7-b92e-539d1c3346db
7358|344|1534|2|c1144ac2-22ef-4273-98e3-336e974d6a35
7364|344|1588|2|6324dfbd-c58e-437c-b9c1-3ccd1d440a1b
7365|344|1497|5|136c8338-6442-41bd-8b7c-6764d8a72778
7366|344|1538|34|6008fef1-2d30-4301-ab00-672108adffd6
7368|344|740|5|5df98831-95b7-470c-ad8a-d2eb056ec447
7369|344|1500|95|a2401b99-1083-46bf-b38b-714a8610577d
7370|344|1594|4|1075692b-db51-4453-93e5-2523bafc058c
7371|344|1405|36|c5d81ab3-2027-4630-a998-a318f9486f8e
7372|344|1502|192|18f077f1-25e0-4082-ad02-284a1293aaf7
7377|344|1537|70|b8f7131a-3ef7-4ee9-a72b-a02ded877748
7378|344|1596|1|53f68b1f-05a4-446f-8a3c-a2a7497a3bfe
7380|344|1577|2|bcfa5c6f-8aca-4e9e-a5f0-53df802b848f
7381|345|1537|447|03fe4ca9-02dc-4982-b122-9417122de359
7382|345|1407|417|7e722270-5b12-4e36-83c7-785cdd201752
7383|343|1594|28|3f29c419-7cfc-4b51-947d-0ad71edc4b1c
7385|344|685|552|03dfbfb9-499d-47c2-a9d7-676c46a258a0
7386|343|685|4497|4dda8719-a7f7-4907-a977-162a0c963b18
7390|345|1509|16|386da6a0-4dcc-4d0e-85e2-d5570cf5eeca
7392|345|685|2401|4bcbccd9-0494-45fb-85e6-be26f1210fd4
7394|343|1600|17|bc250974-4ea5-46c1-948d-736c7ac8e9af
7404|345|1494|22|3a7ccc40-5acd-4060-92b9-68b8f0fc695a
7406|342|953|575|44e5701a-db44-46f5-ac3d-390b6122266c
8105|342|932|541|289f36ed-ad1b-444a-8dd6-8ca939f60458
8106|342|1604|0|5baee065-5cfa-4d8d-b7cd-affbf455b67c
8365|342|1180|10|941125f0-ccd0-4622-bb64-0973b5c39f20
8466|342|1140|3|88f4325c-200a-475c-9360-12aa1040108c
8467|342|1183|5|f3b3ca7f-4dbd-444b-82f6-d5e36d3b79c4
8468|342|847|5|5827a32b-a3c2-4e85-bf97-73ec8ae670c2
8470|342|1031|2|a84c25e2-2e52-4142-aba4-0e1eee8968a6
8471|342|1208|6|193dfaa3-9c94-4620-bfc8-7293186126f3
8472|342|933|16|bf44b0a2-d951-4cdc-b71c-a230ff606efe
8476|342|988|1710|b1de0185-00cb-4c94-b8d3-54d2c770c0fe
9106|342|777|2|537b2314-a1a1-4758-943b-2457564756be
9108|343|1582|1400|a99e49f6-3298-4b1f-90a2-5dd473227c1c
9109|343|1584|4|6cbc38d5-b626-4fc4-aa63-ebd65296e30d
9110|343|1607|10|19c1c6ad-1bc7-4e84-aaac-8a4712f70aa6
9111|343|1576|9|3e8b63ee-3af6-4cbb-87ad-d67dd6361e56
9112|343|1573|1|c89b1e7d-383a-49a8-b433-05e26fdffd51
9273|342|934|20|fb89b198-31b6-4afb-b2f9-618b806be464
12235|344|1417|58|cccd3bc1-d7f6-4560-84ed-d267258f7661
12961|345|1548|33|a8820f81-ab1b-406a-8277-c0477776b3a6
12963|344|738|-2|4c75adb6-0087-496e-b5af-87363c8905f7
12966|345|1501|680|3daf8e53-de6c-4c0b-9cbb-e84bb2e74858
12967|345|1518|10|e97cfa87-15ba-415e-abac-f3aba50bfb57
12975|343|1586|9|ce5d32f2-1900-4f09-92a3-7e024a7cd18c
12977|344|1496|1|0a61a910-f07e-4c9c-bf23-c88b9814ece4
12982|342|1064|10|2797f7eb-f3ef-4d72-a622-f7f3f2ad164f
12983|346|1494|1|f0e7da3e-c377-41a2-bba8-f86c3caa0ec3
12984|346|1548|3|c1c311fe-5458-4af6-88b5-70be0824d43a
12985|344|1407|61|0557a2d9-3617-4d32-839d-4877b5cae60d
12986|343|1554|2|53012157-f063-4a76-ac5f-1319209af6e5
12987|346|1554|1|75939fe1-5e71-4afc-bc51-045f64a4c9d9
12988|346|1561|2|6229728e-40a3-4b58-ac5d-44f3cabcd500
12989|346|1541|1|a3847523-55d5-46ce-83c4-385162443d10
12991|346|1556|1|5bbee403-7567-452c-b647-f7645fac845f
12996|346|1511|3|8939265b-f6cf-42e5-bbe2-0c37fcfe5952
12997|346|1507|1|2a91a1a3-b621-4d5e-9c25-e2205f9ca850
13006|342|1325|252|e595b701-3258-4a8a-a9bf-5838f0ba2b29
13008|343|1501|1000|d94d2488-e808-456c-9f90-d9c70f9b22cd
13009|344|1501|139|e9d29ec1-ac03-4d09-a7a2-03cb1583868e
13012|342|765|52|907df866-03be-41ec-af94-09e1de48e7c9
13013|343|1082|7|6a4d8486-f80c-425b-993b-49137684f6c3
13019|343|1575|10|58f840de-8b8b-421a-b3a8-70a7e2711812
13020|343|1509|8|f1b412d5-2190-46d0-aca5-af66c5207c30
13022|343|1555|54|2ee4171a-fb83-4944-a0ad-600d4064e283
13023|342|1010|10|c44f9668-3cdc-4d6f-a5a7-e5b51f1576d7
13024|342|845|6|1e146346-413f-44d9-bc0f-14f10da37962
13027|345|1500|160|53685595-9552-41e5-8358-d41268aa4611
13058|342|1191|47|10bc629e-7ca2-41d4-810e-1c390d50b8f6
13206|342|783|30|4fb61c35-b78e-4de8-a3e0-dfad54f99908
13207|342|1056|22|166a3813-950a-4f33-8556-39e503b706cb
13839|344|1539|3|7d40edca-7fa9-4bde-97a8-e882ec71890e
16373|342|794|61|15826565-d6e4-4dbc-b3ad-fca1a6ce72e8
18660|343|1494|24|b322a97b-4f4f-4af4-b994-085ac42711ab
25980|342|909|9|c3401557-cfa1-4499-9a0d-5122ccdb7b94
26134|344|1542|8|f77c62fe-ab0e-4e2d-b8f8-b7fdca962ec1
26151|345|1571|2|8a5a9d2a-4a5c-45ec-a64b-7af48a824c72
26857|342|943|44|2f634024-22fe-49de-93f0-287ddaa658fa
26861|342|764|23|75f3fc92-0963-4afa-99a4-eea5f3284f5b
27562|343|1605|4|e11f0281-f17e-4b5f-957e-5c081a151f2d
27565|343|1533|6|21d9a423-23c1-453b-ba0c-608ca75e63ae
27569|344|1082|1|55b3eca1-853d-4c5d-9ad6-d7d745ba1df1
27772|343|1615|12|33c94521-5ec7-4244-89ab-eeb18a65dba1
27773|343|1559|2|ce6ff86f-27f0-40d5-928f-7ead737b6a10
27774|343|1519|8|7850693f-91ed-4c6d-971f-78c4fc26d204
27775|343|1527|900|ca29dbf5-a935-4d25-9f57-5bb02d140158
27783|342|817|22|e6b7a231-a9bc-4728-aee9-7a779cfb9660
27784|342|1176|30|1e9ee2d2-77cc-4096-b773-1c906961660a
27790|343|1417|900|84fd22b3-790b-4892-90c9-1aef1857c97f
27799|343|1524|100|7004c835-37e3-4fa5-9795-ed066507cc0e
27800|344|1524|6|7ecff156-0d68-4a5a-8c40-dcff7d4839c8
27803|343|1599|8|44a6a7f7-664f-4cbf-91c4-ba22e441120a
27809|342|811|7|05cf0b66-1c42-412d-9da3-779d4f4e4a0d
27810|342|1273|6|c7628f5b-06d6-4abf-8149-839c5e5d2d05
27811|342|1456|42|2ae6abac-23e8-4c9b-a9d1-19ab40baf6e3
27820|344|1545|15|c14de055-5e7a-44b8-8b92-be7c69b5f774
27823|342|1233|5|a3a495bf-f171-41ec-87f2-c57073589ef9
27824|342|1360|9|79ef6063-794b-423c-b0d1-0bb204f03bc6
27825|342|923|6|73c45a17-e99a-44a7-8282-e30fe126338a
27826|342|1324|10|1f3dbabc-3e3e-44b0-83f2-0167b8c788fe
27827|342|1287|5|84e581cc-0820-42d1-9839-58b89c737a7f
27828|342|885|10|fb7fc75f-5d6d-4f49-b845-73da1d3b42ed
27835|344|1605|1|d223084f-865a-4965-91d6-be6fd5b35e47
27836|344|1615|3|9b536fa5-6bad-4a6f-b6d2-28c0a0548d77
27841|345|1497|1|b065c1c4-0b0b-421c-bd66-76be52bd5040
27842|346|1539|-50|b6be906a-0306-4f68-afd3-d135f1bb4d6d
27845|342|978|13|a124512b-8f9b-40b2-9b49-cfe781a467ff
27849|343|1551|9|68ab1bb4-ac21-49e0-90d5-dc4ea4205698
27850|346|1248|-30|325afc44-fc4a-4e1d-87f1-aa6644137684
27852|342|802|2|ad915872-fd59-4b24-a772-6b96e3cf752b
27855|345|1519|4|be518622-3d9c-4eff-90b6-ba55e65f4b88
28660|344|1543|11|f712fdb6-1fee-469e-85a1-5d4f84124d69
29731|344|1585|-2|d5a47910-dc07-4932-9526-157efdb63b17
33306|343|1474|100|1fdf1373-47c9-45eb-987a-ee90dbdff8bc
33307|343|1541|10|d0d17ff0-4e9b-43e2-b522-b71c86c2368e
33313|342|1454|4823|43995816-1e34-4a74-bc79-33a58edaf2b1
33314|342|1131|6|e87c5342-b29b-4cce-8dc0-d80a40edd1d4
33315|343|1488|4|2eb03bf7-df58-43ea-a00b-90a094aa2ba3
33317|344|1592|2|a976390f-84d4-445b-866c-1142ce52a129
33318|344|1589|1|944cb8f2-08d3-4f4e-b904-9be252a7fae6
33320|344|1546|3|9c8f425d-813e-42c2-b402-aa27abd149fc
33321|344|1600|1|df32e872-5af1-4434-9b88-3be329146831
33322|343|1550|5|9d32fdfb-2828-4291-b657-63b425331f1b
33323|343|1595|8|10eb9598-9892-458b-ae74-5eadd75556dc
33324|342|906|475|ed7066ad-302c-4293-9c79-024cfeb22a4d
33325|344|1579|-3|04c53d72-f2f3-4e0b-884e-c0016230e0af
33326|342|867|22|0a281817-569c-47b8-813a-42bcef896383
33327|342|1172|3|4f9f9a8f-42e6-4a4c-8059-9b4adf979b35
33328|342|1164|6|409b42ca-c7b0-4968-90d0-83f0565404e8
33329|342|1146|28|33f449bf-c8d2-4b18-994e-bd317f6fa09a
33330|342|1094|2|e32f94a0-860c-442b-b87d-87213d22d556
33331|342|822|4|fc4695f4-bd8f-4740-8814-d0e729a1b838
33332|342|1014|17|b849ea1f-ca5e-4e92-96c6-07b91f990d62
33335|344|1595|-1|7d15bf98-1610-4b4f-aa57-d901133d9f54
33337|344|1601|2|ab42d0d7-aec3-4624-890b-63c92fd00b06
33338|344|727|2|7d95e9ce-9098-4326-b5b7-c30136746ec7
33341|344|729|4|2b4ba3d5-cdaa-435b-a1c9-4541f8dfa344
33343|343|1462|100|d7b5a926-f32f-42a0-909c-894a2faf39bb
33344|343|1512|10|0689b47a-a594-46a4-945c-01882fbc5bf9
33345|343|1544|8|6e59ceba-50ac-4a03-925b-e4a2c83c79d1
33346|343|1626|4|61ee8fed-0fbf-4190-b838-a4e685aec50d
33347|343|1627|4|16f3f8f3-0a8f-4b6a-a475-ba07519eea5f
33349|343|1596|4|80aa1aff-7ad4-48d1-9883-581373501c0d
33351|345|1590|1|f5bfee74-c693-400b-8326-d410117093da
33352|346|866|-5|705632a5-8369-40a0-89eb-ef61fe0a6ad9
33353|346|1328|-15|68af2bed-04a7-4919-a5f3-55089de4ab7c
33354|346|765|-2|cfb7e6ec-e914-44a4-9b29-b73f44b459cd
33357|342|1128|10|085e6183-9952-4a32-b8e4-538931b452e5
33359|342|1044|34|12b59374-61c8-4213-a8fb-59a2bc0e5dce
33360|342|757|54|046735d5-a6bc-47db-be43-da425aeb8664
33361|346|879|-30|c33663db-5277-400e-a081-4bcc0399a677
33362|342|908|14|8e5156eb-9011-4c61-aa5b-208cd2defe24
33363|344|1509|1|6e61300b-0138-426a-b935-1792377365dd
33365|343|1507|7|e4b0934c-bcd9-47dd-b15b-940115e590ad
33367|345|805|-30|5d1f21e9-b83b-4fde-b9c9-4e1cb00b9096
33368|345|1103|-30|dd72ad06-f799-461b-a156-53bee074d96b
33369|345|1124|-56|cd517832-1a7a-47d2-bf3d-2a89a966992d
33370|344|728|0|aff41cb8-31f4-45a2-83d5-e35d5bc64341
33371|344|1494|2|ade36dcb-9d44-47e8-ab28-53bb1975e1c2
33372|344|1586|1|b5a3e26b-f8dc-4d7c-b924-97b484595dfd
33375|346|805|-71|44efb0d6-292a-498f-ba8f-fee27e2f3caa
33376|346|1103|-90|7e5d599c-d2cf-4234-aab8-a091873b4793
33377|346|1039|-35|d5206077-8b7b-4dac-ab32-75f3cd68877a
33378|346|1604|-35|8d01bc67-7390-484f-aefb-cf6ae81f1019
33379|346|1121|-35|a2987c87-41da-4bc6-b25d-43be599129ad
33382|344|1469|-1|d0df864f-4839-40db-a860-eff84dc5a671
33383|344|734|-1|69d553ad-e973-481d-9124-ff97fe661a4d
33386|343|1606|6|bfb804db-f030-4cf0-b50d-8b6d9931bbc8
33388|344|1474|-3|49c9b55a-4a69-4ad7-9535-e21aaccdf5fd
34438|346|1454|-30|cb00b102-73bf-4fb8-ae3b-2e8e535542ea
34439|346|955|-15|047e13a1-9f4f-44cb-8c11-fd8d9dfaf2c1
34440|346|1074|-30|dd3f39ad-8b7d-4181-9d10-5bfe3764be68
34441|346|1169|-30|1939ec9e-0204-4946-aeae-92771cdb4158
34442|346|794|-1|0092ffa8-005f-4913-974b-ea1c033a804b
34443|346|1099|-13|2cf9be48-d2f5-46d8-8a44-d828966abc64
34445|346|785|-60|4cfd8b6d-2d04-4dd1-9fa7-20fefc6b12af
34446|346|1194|-70|4404b97d-d54b-447c-be60-9d228c905923
34448|343|1346|1|bd837326-09af-43dc-8416-00c55abdcc20
34449|346|977|-60|ab58799e-4779-4de6-aaa1-39d52008bfde
34450|346|1000|-30|5872bf23-230c-483a-b05e-4e6786d052b6
34451|346|1265|-1|50f494f4-4876-4b48-8598-64ea46f5ae40
34452|346|1055|-35|98b6ba9a-d56d-493c-ab6a-172fe144986b
34453|346|813|-10|5b6a1bdc-b396-434d-85ac-2597b2299c24
34455|346|1115|-7|bfcad139-f73e-4f6b-a5a4-3351e6e47e68
34456|346|780|-14|b7541601-e1b1-47db-850a-ba897a1a15d5
34457|346|1124|-60|664fafb7-4125-4cdd-8c42-afb2bea8587b
34459|342|1351|10|8c4ffe23-b31b-483e-8a11-e77eb2f843c0
34460|342|1299|83|8f8e4411-3975-431a-86f6-168391fc8fc3
34461|342|880|10|de0f54cb-3289-42a2-b9ac-3748aefd30c3
34462|342|1241|9|1e13bb29-1bdc-4a68-8c7d-f6a48fa5482f
34463|342|964|13|eb794870-4b60-47bf-933a-2c98eb04ebb9
34467|344|1552|-100|fc75b1b1-d576-42ba-aa16-ae6524eb1f85
34468|344|1563|-100|67ccd311-01c6-4f6e-bb59-27a33c835b16
34469|344|1582|-100|96f7719f-6de8-469a-836c-21f690c81415
34493|342|1296|1|53df0941-a82a-404c-8f63-a01531f1ba03
34495|342|1630|258|aef20e80-329a-45aa-a5dc-95afda14a34e
34496|342|1631|40|a2573c70-d3ec-40e2-84b0-7c94cc5e9498
34500|346|1130|-21|75f0b0aa-2f93-470f-af09-12411328bec1
34501|346|883|-10|746f81ee-48e2-409c-b630-13c9fda32d36
34502|342|1452|-15|ccb365f0-5979-4857-a15a-9315817a0d80
